user,text,time,language,source,retweet_count,reply_count,like_count,quote_count
836969699665670145,¿Qué deporte recomiendan empezar a ver? El fútbol pasó de moda.,2025-05-21 21:00:11+00:00,es,,2722,2812,87397,376
836969699665670145,Ah bueno el gol que acaba de hacer Santiago Montiel…,2025-05-11 19:47:36+00:00,es,,139,182,9946,6
836969699665670145,"Gol en fase de grupos, octavos, cuartos y en semi de UCL 2024/25. Campeón de Serie A, Copa Italia, Supercopa Italia y dos veces finalista de la Champions League. 9 goles al Milan. 

Lautaro Martinez llegó para cambiar la historia moderna del Inter. 

De los mejores del mundo. https://t.co/C1BbEdDKW8",2025-05-06 21:44:37+00:00,es,,2252,653,39737,135
836969699665670145,Fútbol. No hace falta escribir nada más. Impresionante lo que estamos viendo.,2025-05-06 20:57:33+00:00,es,,3057,346,47741,32
836969699665670145,La mejor semifinal de Champions League de los últimos largos años. Qué partidazo y qué equipazos por favor…,2025-05-06 20:21:21+00:00,es,,2518,344,51874,66
836969699665670145,No puedo creer lo que acaba de atajar Yann Sommer.,2025-05-06 20:17:08+00:00,es,,373,157,30739,19
836969699665670145,"Es un excelente 1T del Inter. Muy bien parado defensivamente y un equipo muy serio cuando se lanza al ataque. Hasta ahora fue más que el Barça y el resultado es justo. Y mas allá de cracks como Lautaro, Dumfries o Çalhanoglu, es impresionante lo bueno que es Alessandro Bastoni.",2025-05-06 19:52:45+00:00,es,,162,261,12104,10
836969699665670145,"La última vez que disfruté tanto el partido de un jugador en UCL fue Neymar vs. Bayern Munich en 2021. Quería que todas las pelotas pasen por él, y en cada jugada demostraba que era mucho más que los demás. Eso es hoy Lamine Yamal. Simplemente otro nivel. 17 años… por favor.",2025-04-30 19:49:58+00:00,es,,3390,372,64484,63
836969699665670145,"Barcelona campeón de la Copa del Rey. Partido de locos. En el 1T, fue mucho más el equipo de Flick. En el ST hubo una mejora del Real Madrid. Y el alargue lo termina ganando el mejor equipo de la temporada. 

1/3, a tan solo 8 partidos de un nuevo triplete. 3 de UCL y 5 de Liga.",2025-04-26 22:47:10+00:00,es,,1315,368,36496,6
836969699665670145,¿Qué sentido tiene simular un penal al último minuto en una final sabiendo que hay VAR?,2025-04-26 22:05:00+00:00,es,,703,835,42381,58
1411060313974312960,"Todas las historias tienen un principio y un final, ahora que estos cuatro cracks decidieron dejar el fútbol europeo, es el momento preciso de ordenarlos de mejor a peor.

Estamos en condiciones justas de terminar este debate. Te voy a estar leyendo. https://t.co/LvwhGUl1mo",2025-05-25 02:49:39+00:00,es,,428,1102,28004,124
1411060313974312960,"Cuando sos un club desagradecido pasan cosas como esta, el karma siempre llega querido Manchester United. Jamás se la cierra la puerta a dos leyendas. https://t.co/7FbYcbbknG",2025-05-21 22:15:34+00:00,es,,1210,405,37157,33
1411060313974312960,"Cristian “Cuti” Romero le ganó una final a una selección brasileña, a la selección italiana, a la selección francesa, y a un equipo inglés siendo capitán. No perdió ninguna final en su carrera y sacó campeón al Tottenham de una copa internacional después de 42 años.

Ganador 🇦🇷 https://t.co/siMLMTN1ht",2025-05-21 21:02:12+00:00,es,,689,185,17738,18
1411060313974312960,"Tuvo que esperar casi 500 partidos y 10 años para levantar un título con el club de sus amores.

La vida no se trata de cuántas veces te caes, si no de cuántas te levantas…

Felicitaciones Heung-Min Son, sos campeón con el Tottenham. https://t.co/6LJBm3K7JG",2025-05-21 20:58:15+00:00,es,,3301,281,57010,107
1411060313974312960,"No sé si algún día tendré un hijo, pero espero que sea esto. Me llenaría de orgullo. https://t.co/UWWsydMAHW",2025-05-19 19:34:19+00:00,es,,332,137,12933,11
1411060313974312960,"Hola. Solo vengo a contarles que tengo a la mejor mamá del mundo, miren el regalo que me hizo. 🥹

Buen fin de semana para todos. https://t.co/gSDE5W78jh",2025-05-16 22:49:02+00:00,es,,728,178,35046,7
1411060313974312960,"El Barcelona acaba de conseguir el triplete doméstico.
Liga Española.
SuperCopa de España vs Real Madrid.
Copa del Rey vs Real Madrid.

Nos vendieron que el equipo del poder y los millones iba a ganarlo todo, y el único récord que rompió fueron 16 goles recibidos por su papa. https://t.co/4jseNOzTGs",2025-05-15 21:30:49+00:00,es,,1400,414,18550,45
1411060313974312960,"Alguien lo merece más que él?

Sería la historia perfecta, lo sabemos todos los que nos gusta el fútbol de verdad. https://t.co/ntfdJ9XJdE",2025-05-15 21:28:48+00:00,es,,798,408,21385,43
1411060313974312960,"Lamine Yamal acaba de igualar las mismas Ligas de España que Cristiano Ronaldo, el canterano de La Masía tiene 17 años.

Déjame tu like si queres enterarte de todas las novedades del mundo del fútbol.",2025-05-15 21:26:41+00:00,es,,1506,518,33215,65
1411060313974312960,"El Real Madrid es, fue y será el club con más suerte de la historia. No te lo puedo creer, investiguen al defensor del Mallorca, pobre el arquero Roman jugó solo.
Barcelona tendrá que ser campeón el jueves, están solo retrasando lo inevitable.",2025-05-14 21:25:25+00:00,es,,165,226,7311,8
